"","TITULO_PROJETO","","UF_PROPONENTE","SITUACAO_REGISTRO","CNPJ_PROPONENTE","RAZAO_SOCIAL_PROPONENTE","LEI_8313","ART1","ART1A","ART3","ART3A","ART39","FUNCINES","TOTAL_CAPTADO"
"","","","CE","DEFERIDO","00.993.636/0001-81","M MARGARITA HERNANDEZ PASCUAL","450000","700000","0","0","0","0","0","1150000"
"","Um outro Francisco","","CE","DEFERIDO","00.993.636/0001-81","M MARGARITA HERNANDEZ PASCUAL","0","0","40270","0","200000","0","0","240270"
"","Sequestro (ex - Sequestro Urgente)","","RJ","IRREGULAR","01.006.566/0001-93","MIDMIX ENTRETENIMENTO LTDA","0","972821","0","0","0","0","0","972821"
"","A Corrida do Doping","","SC","DEFERIDO","01.009.824/0001-95","","0","0","0","0","300000","0","0","300000"
"","","","SC","DEFERIDO","01.009.824/0001-95","","0","0","0","0","300000","0","0","300000"
"","Retrovisor","","SC","DEFERIDO","01.009.824/0001-95","","412330,48","0","500000","0","0","0","0","912330,48"
"","CRIMES.COM (EX CRIMES VIRTUAIS)","","SC","DEFERIDO","01.009.824/0001-95","","0","0","0","0","0","2260255,22","0","2260255,22"
"","Carlos Oswald - O Poeta da Luz   (Ex - Carlos Oswald - O Poeta da Luz, O Filme)","","RJ","IRREGULAR","01.021.227/0001-86","PAN EVENTOS E PROJETOS CULTURAIS LTDA","350000","0","0","0","0","0","0","350000"
"","","","RJ","DEFERIDO","01.071.967/0001-27","PANORAMA FILMES LTDA.","0","582437","0","0","0","0","0","582437"
"","","","RJ","DEFERIDO","01.071.967/0001-27","PANORAMA FILMES LTDA.","0","0","0","0","119999,97","0","0","119999,97"
"","","","RJ","IRREGULAR","01.097.887/0001-40","","8500","1000000","238100","800000","0","0","0","2046600"
"","Bellini e a Esfinge","","RJ","IRREGULAR","01.097.887/0001-40","","517000","1237100","0","185431,59","0","0","0","1939531,59"
"","Ilha Grande","","SP","DEFERIDO","01.111.024/0001-80","","72659,16","214060","0","0","0","0","0","286719,16"
"","AGUAMARINHA","","SP","DEFERIDO","01.111.024/0001-80","","0","818893","0","0","0","0","0","818893"
"","","","SP","DEFERIDO","01.111.024/0001-80","","0","576192","0","0","0","0","0","576192"
"","","","SP","DEFERIDO","01.111.024/0001-80","","0","16938","0","0","0","0","0","16938"
"","","","SP","DEFERIDO","01.111.024/0001-80","","0","0","1050000","0","0","0","0","1050000"
"","Tais & Taiane","","SP","DEFERIDO","01.111.024/0001-80","","0","0","600000","0","0","0","0","600000"
"","","","RJ","IRREGULAR","01.120.593/0001-92","","0","52219","0","0","0","0","0","52219"
"","","","RJ","DEFERIDO","01.125.538/0001-95","","0","0","0","0","150000","0","0","150000"
"","","","RJ","DEFERIDO","01.125.538/0001-95","","0","0","530000","0","800000","0","0","1330000"
"","Aurora","","RJ","DEFERIDO","01.125.538/0001-95","","0","0","500000","0","0","0","0","500000"
"","A Alegria","","RJ","DEFERIDO","01.125.538/0001-95","","0","0","600000","0","0","0","0","600000"
"","","","DF","DEFERIDO","01.137.954/0001-03","F. R. DUARTE PRODUCOES LTDA","0","0","113000","0","0","0","0","113000"
"","Peixonauta: Agente Secreto da O.S.T.R.A. (Ex - Peixonauta)","","SP","DEFERIDO","01.161.933/0001-23","","0","1000000","1208004","208000","0","568282","0","2984286"
"","Tarsilinha","","SP","DEFERIDO","01.161.933/0001-23","","0","1030000","1476200","0","0","0","0","2506200"
"","","","SP","DEFERIDO","01.161.933/0001-23","","0","0","875000","0","0","450000","0","1325000"
"","","","SP","DEFERIDO","01.161.933/0001-23","","0","1000000","1337427,36","0","0","0","0","2337427,36"
"","","","SP","DEFERIDO","01.161.933/0001-23","","0","0","100000","0","0","1808652","0","1908652"
"","","","SP","DEFERIDO","01.161.933/0001-23","","0","0","1426000","0","0","350000","0","1776000"
"","","","SP","DEFERIDO","01.161.933/0001-23","","0","0","324001","0","0","250000","0","574001"
"","Charlie, o entrevistador de coisas (Ex Charlie Show)","","SP","DEFERIDO","01.161.933/0001-23","","0","0","1400000","0","0","753000","0","2153000"
"","O Show da Luna! Quinta Temporada","","SP","DEFERIDO","01.161.933/0001-23","","0","0","1000000","48173,89","0","1485870","0","2534043,89"
"","O Show da Luna! Sexta Temporada","","SP","DEFERIDO","01.161.933/0001-23","","0","0","800000","0","0","1604273,04","0","2404273,04"
"","SUBSOLO UNDERGROUND","","SP","IRREGULAR","01.163.107/0001-13","TERRANOVA FILMES LTDA-ME","0","20500","0","125694,55","0","0","0","146194,55"
"","","","SP","IRREGULAR","01.175.644/0001-83","","624000","1931000","0","1915963,99","0","78563,62","0","4549527,61"
"","Marcelo Yuka no caminho das setas","","SP","DEFERIDO","01.179.201/0001-60","","0","0","600000","0","0","0","0","600000"
"","Dorival Caymmi - um homem de afetos","","SP","DEFERIDO","01.179.201/0001-60","","0","0","80000","0","0","0","0","80000"
"","","","MG","IRREGULAR","01.219.300/0001-29","","600000","1130000","0","0","0","0","0","1730000"
"","CIRCO DAS QUALIDADES HUMANAS (O)","","MG","IRREGULAR","01.219.300/0001-29","","0","200000","0","0","0","0","0","200000"
"","Risco - Vida e obra  de Lucio Costa ( O )","","RJ","DEFERIDO","01.230.968/0001-77","","339000","287000","0","0","0","0","0","626000"
